"","decimalLongitude","decimalLatitude","verbatimSRS","geodeticDatum","continent","country","countryCode","stateProvince","county","municipality","verbatimCoordinates"
"1",-37.985806,-73.27009,"unknown","unknown","","","","","","","-73.27009 -37.985806"
"2",-37.962703,-73.250557,"unknown","unknown","","","","","","","-73.250557 -37.962703"
"3",-37.945865,-73.253354,"unknown","unknown","","","","","","","-73.253354 -37.945865"
"4",-37.924944,-73.225018,"unknown","unknown","","","","","","","-73.225018 -37.924944"
"5",-37.925137,-73.348402,"unknown","unknown","","","","","","","-73.348402 -37.925137"
"6",-37.897728,-73.311393,"unknown","unknown","","","","","","","-73.311393 -37.897728"
"7",-37.889821,-73.355158,"unknown","unknown","","","","","","","-73.355158 -37.889821"
"8",-38.02912,-73.229198,"unknown","unknown","","","","","","","-73.229198 -38.02912"
"9",-37.585597,-73.145289,"unknown","unknown","","","","","","","-73.145289 -37.585597"
"10",-37.977215,-73.259205,"unknown","unknown","","","","","","","-73.259205 -37.977215"
"11",-37.91667,-73.343986,"unknown","unknown","","","","","","","-73.343986 -37.91667"
"12",-37.951915,-73.287547,"unknown","unknown","","","","","","","-73.287547 -37.951915"
"13",-37.929038,-73.278685,"unknown","unknown","","","","","","","-73.278685 -37.929038"
"14",-37.920475,-73.319701,"unknown","unknown","","","","","","","-73.319701 -37.920475"
"15",-37.908929,-73.283844,"unknown","unknown","","","","","","","-73.283844 -37.908929"
"16",-38.006361,-73.226342,"unknown","unknown","","","","","","","-73.226342 -38.006361"
"17",-37.928167,-73.258344,"unknown","unknown","","","","","","","-73.258344 -37.928167"
"18",-37.964049,-73.258938,"unknown","unknown","","","","","","","-73.258938 -37.964049"
"19",-37.950305,-73.259911,"unknown","unknown","","","","","","","-73.259911 -37.950305"
"20",-37.564169,-73.13453,"unknown","unknown","","","","","","","-73.13453 -37.564169"
"21",-37.896426,-73.416179,"unknown","unknown","","","","","","","-73.416179 -37.896426"
"22",-38.00715,-73.232925,"unknown","unknown","","","","","","","-73.232925 -38.00715"
"23",-37.960254,-73.208428,"unknown","unknown","","","","","","","-73.208428 -37.960254"
"24",-37.921671,-73.293486,"unknown","unknown","","","","","","","-73.293486 -37.921671"
"25",-37.904217,-73.323321,"unknown","unknown","","","","","","","-73.323321 -37.904217"
"26",-37.897712,-73.359216,"unknown","unknown","","","","","","","-73.359216 -37.897712"
"27",-37.892923,-73.385319,"unknown","unknown","","","","","","","-73.385319 -37.892923"
